#DS_DDI,drug_name,GPI,KDC,route,dosage_form,ddi_strength,strength_units,lastchange
286,"Acetaminophen",64200010005205,501,RE,SUPP,"120","MG",20140101
288,"Acetaminophen",64200010005215,501,RE,SUPP,"325","MG",20170405
289,"Acetaminophen",64200010005220,501,RE,SUPP,"650","MG",20140101
290,"Acetaminophen",96424610252900,501,XX,POWD,,,20140101
295,"Acetaminophen PM",60309902200310,456101,OR,TABS,"500-25","MG",20140101
311,"Acetasol HC",87300020102000,541401,OT,SOLN,"2-1","%",20140101
313,"AcetaZOLAMIDE",37100010000305,801,OR,TABS,"125","MG",20140101
314,"AcetaZOLAMIDE",37100010000310,801,OR,TABS,"250","MG",20140101
315,"AcetaZOLAMIDE Sodium",37100010102105,802,IJ,SOLR,"500","MG",20140101
316,"Acetest",94100005000300,0,VI,TABS,,,20140101
321,"Acetic Acid Glacial",96101010002099,901,XX,SOLN,"99","%",20160406
328,"Acetone",96201010002000,1101,XX,SOLN,,,20140101
330,"Acetylcysteine",43300010002003,1501,IN,SOLN,"10","%",20140101
331,"Acetylcysteine",43300010002005,1501,IN,SOLN,"20","%",20140101
354,"Acidophilus",47300020000100,71501,OR,CAPS,,,20140101
355,"Acidophilus/Citrus Pectin",47990002450300,71501,OR,TABS,,,20140101
356,"Acidophilus/Pectin",47990002450120,71501,OR,CAPS,,,20140101
362,"Aclovate",90550005103710,2508501,EX,CREA,"0.05","%",20140101
376,"Acne Medication",90050010004120,1824801,EX,LOTN,"10","%",20140101
388,"Acnotex",90059902204107,146601,EX,LOTN,"2-8","%",20140101
390,"Acryline 2",97501000006300,0,XX,KIT ,,,20140101
412,"Actical",78310000000100,701101,OR,CAPS,,,20140101
428,"Actigall",52100040000120,470101,OR,CAPS,"300","MG",20140101
433,"Actimmune",21700060702020,549601,SC,SOLN,"2000000","UNIT/0.5ML",20140101
439,"Activase",85601010002120,465201,IV,SOLR,"100","MG",20140101
440,"Activase",85601010002110,465201,IV,SOLR,"50","MG",20140101
449,"Acular",86805035102020,1897501,OP,SOLN,"0.5","%",20140101
457,"Adagen",20000050002025,547301,IM,SOLN,"250","UNIT/ML",20140101
505,"Adhesive Bandages",97301000000000,0,XX,MISC,,,20140101
509,"Adhesive Tape",97304000004600,0,XX,TAPE,,,20140101
511,"Adipex-P",61200070100120,102502,OR,CAPS,"37.5","MG",20140101
512,"Adipex-P",61200070100310,1962301,OR,TABS,"37.5","MG",20141001
518,"Adrenalin",38900040002030,2748101,IJ,SOLN,"1","MG/ML",20140101
520,"Adrenalin",42102020102005,48603,NA,SOLN,"0.1","%",20140101
557,"Advil",66100020000305,3742801,OR,TABS,"200","MG",20170104
558,"Advil Cold/Sinus",43991002310310,554401,OR,TABS,"30-200","MG",20140101
560,"AeroChamber Plus",97100550006200,0,XX,MISC,,,20140101
583,"Afrin Nasal Spray",42102040102010,2601701,NA,SOLN,"0.05","%",20140101
613,"Akne-Mycin",90051020004210,971401,EX,OINT,"2","%",20140101
629,"Ala-Bath",90650000001700,635501,EX,OIL ,,,20140101
630,"Ala-Cort",90550075003720,2544101,EX,CREA,"1","%",20170104
633,"Ala-Quin",90159902103710,3450301,EX,CREA,"3-0.5","%",20160106
634,"Ala Scalp",90550075004118,2682201,EX,LOTN,"2","%",20140101
668,"Albolene",90650000003700,632001,EX,CREA,,,20140101
674,"Albuminar-25",85400010002015,2501,IV,SOLN,"25","%",20140101
675,"Albuminar-5",85400010002010,2501,IV,SOLN,"5","%",20140101
676,"Albustix",94100010006100,0,VI,STRP,,,20140101
678,"Albutein",85400010002015,2501,IV,SOLN,"25","%",20140101
679,"Albutein",85400010002010,2501,IV,SOLN,"5","%",20140101
680,"Albuterol Sulfate",44201010102515,248602,IN,NEBU,"(2.5 MG/3ML)","0.083%",20180704
681,"Albuterol Sulfate",44201010102520,248602,IN,NEBU,"(5 MG/ML)","0.5%",20140101
683,"Albuterol Sulfate",44201010101205,248602,OR,SYRP,"2","MG/5ML",20140101
684,"Albuterol Sulfate",44201010100305,248602,OR,TABS,"2","MG",20140101
685,"Albuterol Sulfate",44201010100310,248602,OR,TABS,"4","MG",20140101
686,"Albuterol Sulfate",44201010102900,248602,XX,POWD,,,20140101
687,"Alcaine",86750020102005,3612601,OP,SOLN,"0.5","%",20160106
696,"Alcohol (Rubbing)",96201020202070,50401,XX,SOLN,"70","%",20170405
699,"Alcohol Prep",97703040004300,0,XX,PADS,,,20160406
712,"Aldactazide",37990002200310,148201,OR,TABS,"25-25","MG",20140101
713,"Aldactazide",37990002200320,148201,OR,TABS,"50-50","MG",20140101
714,"Aldactone",37500020000315,126701,OR,TABS,"100","MG",20140101
715,"Aldactone",37500020000305,126701,OR,TABS,"25","MG",20140101
716,"Aldactone",37500020000310,126701,OR,TABS,"50","MG",20140101
730,"Alfalfa",95033618030300,479203,OR,TABS,"250","MG",20140101
744,"Alimentum",81100000000900,586801,OR,LIQD,,,20140101
745,"AlitraQ",81200000003000,623201,OR,PACK,,,20140101
749,"Alka-Seltzer Extra Strength",64109902110830,148601,OR,TBEF,"500","MG",20140101
750,"Alka-Seltzer Gold",48209902100800,687601,OR,TBEF,"832-312-958","MG",20140101
760,"Alkeran",21101040102110,2810101,IV,SOLR,"50","MG",20140101
761,"Alkeran",21101040000305,77801,OR,TABS,"2","MG",20140101
785,"Aller-Chlor",41100020151205,3302801,OR,SYRP,"2","MG/5ML",20140101
786,"Aller-Chlor",41100020150310,1977401,OR,TABS,"4","MG",20140101
837,"Allergy",41100020150310,1977401,OR,TABS,"4","MG",20140101
843,"Allergy Relief",41100020150310,1977401,OR,TABS,"4","MG",20140402
852,"Allerhist-1",41200020400305,31901,OR,TABS,"1.34","MG",20140101
862,"AllKare Adhesive Remover Wipes",97151000006300,0,XX,MISC,,,20140101
864,"Allopurinol",68000010000305,3201,OR,TABS,"100","MG",20150701
865,"Allopurinol",68000010000310,3201,OR,TABS,"300","MG",20150701
867,"Almacone",48991003101810,379701,OR,SUSP,"200-200-20","MG/5ML",20140101
881,"Aloe Grande",90650028003700,2916101,EX,CREA,"100000-1500","UNIT/GM",20140101
884,"Aloe Vera",90970005004000,3301,EX,GEL ,,,20140101
913,"ALPRAZolam",57100010000305,251301,OR,TABS,"0.25","MG",20140101
914,"ALPRAZolam",57100010000310,251301,OR,TABS,"0.5","MG",20140101
915,"ALPRAZolam",57100010000315,251301,OR,TABS,"1","MG",20180704
916,"ALPRAZolam",57100010000320,251301,OR,TABS,"2","MG",20140101
918,"Altace",36100050000110,548001,OR,CAPS,"1.25","MG",20140101
919,"Altace",36100050000140,2469801,OR,CAPS,"10","MG",20140101
920,"Altace",36100050000120,2426701,OR,CAPS,"2.5","MG",20140101
921,"Altace",36100050000130,2444901,OR,CAPS,"5","MG",20140101
926,"Altamist Spray",42500010002010,123101,NA,SOLN,"0.65","%",20140101
927,"Altarussin",43200010001210,225601,OR,SYRP,"100","MG/5ML",20140101
929,"Altarussin DM",43997002521220,389901,OR,SYRP,"100-10","MG/5ML",20140101
930,"Altarussin-PE",43996202301210,2424201,OR,SYRP,"30-100","MG/5ML",20140101
931,"Altaryl",41200030101010,325101,OR,ELIX,"12.5","MG/5ML",20140101
943,"Alum Ammonium",96300002102900,1028601,XX,POWD,,,20141001
946,"Alum Potassium",96300002202900,108901,XX,POWD,,,20140101
957,"Aluminum Acetate",90971003102000,3801,EX,SOLN,,,20141001
959,"Aluminum Acetate",90971003102900,3801,XX,POWD,,,20140101
965,"Aluminum Hydroxide Gel",48100010201810,4201,OR,SUSP,"320","MG/5ML",20140101
994,"Amantadine HCl",73200010100105,4801,OR,CAPS,"100","MG",20140101
995,"Amantadine HCl",73200010101205,4801,OR,SYRP,"50","MG/5ML",20140101
1002,"Ambien",60204080100315,602201,OR,TABS,"10","MG",20140101
1003,"Ambien",60204080100310,2510901,OR,TABS,"5","MG",20160406
1012,"Americaine",90850010003220,13401,EX,AERO,"20","%",20140101
1034,"Amicar",84100010001205,5701,OR,SYRP,"25","%",20150701
1035,"Amicar",84100010000305,5701,OR,TABS,"500","MG",20150701
1037,"Amidate",70400010002020,2936001,IV,SOLN,"2","MG/ML",20140101
1048,"AMILoride HCl",37500010100305,251601,OR,TABS,"5","MG",20140101
1049,"AMILoride-HydroCHLOROthiazide",37990002100310,381101,OR,TABS,"5-50","MG",20160706
1051,"Amina-21",80302010000100,947001,OR,CAPS,,,20140101
1056,"Amino Acids",80302010000100,0,OR,CAPS,,,20160706
1057,"Amino Acids",80302010000300,0,OR,TABS,,,20140101
1058,"Amino Action",80302010000300,1101701,OR,TABS,"1200-100","MG",20140101
1064,"Aminoacetic Acid",56700050002005,60901,IR,SOLN,"1.5","%",20140101
1065,"Aminobrain",78500000000100,509001,OR,CAPS,,,20140101
1066,"Aminobrain-Plus",78500000000100,509101,OR,CAPS,,,20140101
1067,"Aminocaproic Acid",84100010002005,5701,IV,SOLN,"250","MG/ML",20150701
1069,"Aminofen",64200010000310,501,OR,TABS,"325","MG",20140101
1070,"Aminofen",64200010000315,501,OR,TABS,"500","MG",20140101
1071,"Aminohippurate Sodium",94200010102005,345601,IJ,SOLN,"20","%",20140101
1072,"Aminophylline",44300010002010,5801,IV,SOLN,"25","MG/ML",20140101
1080,"Aminophylline",44300010002900,5801,XX,POWD,,,20140101
1085,"Aminosalicylic Acid",09000010002900,5901,XX,POWD,,,20140101
1087,"Aminosyn",80302010102040,562901,IV,SOLN,"10","%",20140101
1092,"Aminosyn",80302010102030,562901,IV,SOLN,"8.5","%",20140101
1093,"Aminosyn II",80302010102060,562801,IV,SOLN,"15","%",20140101
1095,"Aminosyn II",80302010102040,562801,IV,SOLN,"10","%",20140101
1097,"Aminosyn II",80302010102024,562801,IV,SOLN,"7","%",20140101
1098,"Aminosyn II",80302010102030,562801,IV,SOLN,"8.5","%",20140101
1101,"Aminosyn II/Electrolytes",80302010152045,586901,IV,SOLN,"8.5","%",20140101
1107,"Aminosyn/Electrolytes",80302010152030,562701,IV,SOLN,"7","%",20140101
1108,"Aminosyn-HBC",80302010102024,2299201,IV,SOLN,"7","%",20140101
1110,"Aminosyn-PF",80302010102040,587101,IV,SOLN,"10","%",20140101
1111,"Aminosyn-PF",80302010102024,1938901,IV,SOLN,"7","%",20140101
1112,"Aminosyn-RF",80302010102015,2285501,IV,SOLN,"5.2","%",20140101
1127,"Amitriptyline HCl",58200010100305,6001,OR,TABS,"10","MG",20150701
1128,"Amitriptyline HCl",58200010100325,6001,OR,TABS,"100","MG",20150701
1129,"Amitriptyline HCl",58200010100330,6001,OR,TABS,"150","MG",20140101
1130,"Amitriptyline HCl",58200010100310,6001,OR,TABS,"25","MG",20150701
1131,"Amitriptyline HCl",58200010100315,6001,OR,TABS,"50","MG",20170405
1132,"Amitriptyline HCl",58200010100320,6001,OR,TABS,"75","MG",20150701
1136,"Ammonia Aromatic",99000015102400,6101,IN,INHA,,,20140101
1140,"Ammonium Bromide",96300003102700,473703,XX,GRAN,,,20140101
1145,"Ammonium Chloride",96300003002700,6201,XX,GRAN,,,20140101
1146,"Ammonium Hydroxide",96102010002000,919801,XX,SOLN,,,20140101
1147,"Ammonium Molybdate",79900020102010,87202,IV,SOLN,"25","MCG/ML",20140101
1152,"Amosan",97503000002900,124901,DT,POWD,"1.2","GM",20140101
1153,"Amoxapine",58200020000315,249601,OR,TABS,"100","MG",20140101
1154,"Amoxapine",58200020000320,249601,OR,TABS,"150","MG",20140101
1155,"Amoxapine",58200020000305,249601,OR,TABS,"25","MG",20140101
1156,"Amoxapine",58200020000310,249601,OR,TABS,"50","MG",20140101
1157,"Amoxicillin",01200010100105,6801,OR,CAPS,"250","MG",20140101
1158,"Amoxicillin",01200010100110,6801,OR,CAPS,"500","MG",20140402
1159,"Amoxicillin",01200010100510,6801,OR,CHEW,"250","MG",20140101
1160,"Amoxicillin",01200010101910,6801,OR,SUSR,"125","MG/5ML",20140101
1161,"Amoxicillin",01200010101915,6801,OR,SUSR,"250","MG/5ML",20140101
1170,"Amphetamine Sulfate",61100010100320,3528701,OR,TABS,"10","MG",20150401
1171,"Amphetamine Sulfate",61100010100310,6902,OR,TABS,"5","MG",20150401
1179,"Amphotericin B",11000010002105,7001,IJ,SOLR,"50","MG",20140101
1180,"Ampicillin",01200020200105,7101,OR,CAPS,"250","MG",20140101
1181,"Ampicillin",01200020200110,7101,OR,CAPS,"500","MG",20140101
1183,"Ampicillin",01200020201910,7101,OR,SUSR,"125","MG/5ML",20140101
1184,"Ampicillin",01200020201915,7101,OR,SUSR,"250","MG/5ML",20140101
1185,"Ampicillin Sodium",01200020302120,7102,IJ,SOLR,"1","GM",20140101
1186,"Ampicillin Sodium",01200020302130,7102,IJ,SOLR,"10","GM",20150107
1187,"Ampicillin Sodium",01200020302105,7102,IJ,SOLR,"125","MG",20140101
1188,"Ampicillin Sodium",01200020302125,7102,IJ,SOLR,"2","GM",20140101
1189,"Ampicillin Sodium",01200020302110,7102,IJ,SOLR,"250","MG",20140101
1190,"Ampicillin Sodium",01200020302115,7102,IJ,SOLR,"500","MG",20140101
1206,"Amytal Sodium",60100010102110,6502,IJ,SOLR,"500","MG",20140101
1214,"Anacaine",90850010004210,13401,EX,OINT,"10","%",20140101
1215,"Anacin",64990002250310,151201,OR,TABS,"400-32","MG",20140101
1229,"Anafranil",58200025100120,469701,OR,CAPS,"25","MG",20140101
1230,"Anafranil",58200025100130,469701,OR,CAPS,"50","MG",20140101
1231,"Anafranil",58200025100140,469701,OR,CAPS,"75","MG",20140101
1268,"Anaprox",66100060100305,88702,OR,TABS,"275","MG",20140101
1269,"Anaprox DS",66100060100310,88702,OR,TABS,"550","MG",20140101
1280,"Anbesol Maximum Strength",88350010004040,2350301,MT,GEL ,"20","%",20140101
1290,"Ancobon",11000020000105,55901,OR,CAPS,"250","MG",20140402
1291,"Ancobon",11000020000110,55901,OR,CAPS,"500","MG",20140402
1319,"Anectine",74100010102005,2101101,IJ,SOLN,"20","MG/ML",20140101
1344,"Animal Chews",78412000000500,308001,OR,CHEW,,,20140101
1354,"Anise",96202508001700,7601,XX,OIL ,,,20150107
1382,"Answer Ovulation",94100044006400,0,VI,KIT ,,,20140101
1383,"Answer Plus",94100050006000,0,VI,TEST,,,20140101
1385,"Answer Quick/Simple",94100050006000,0,VI,TEST,,,20140101
1386,"Answer Quick/Simple 2",94100050006000,0,VI,TEST,,,20140101
1389,"Antabuse",62802040000325,46401,OR,TABS,"250","MG",20140101
1390,"Antabuse",62802040000350,46401,OR,TABS,"500","MG",20140101
1391,"Antacid",48300010000510,2425201,OR,CHEW,"500","MG",20140101
1400,"Antacid Extra Strength",48300010000520,3337801,OR,CHEW,"750","MG",20140101
1406,"Antacid Liquid",48991003101810,204401,OR,SUSP,"200-200-20","MG/5ML",20140101
1423,"Antacid/Simethicone",48991003101810,204401,OR,SUSP,"200-200-20","MG/5ML",20140101
1424,"Antacid/Simethicone DS",48991003101835,204401,OR,SUSP,"400-400-40","MG/5ML",20140101
1442,"Anthralin",90250020002900,8001,XX,POWD,,,20140101
1446,"Anti-Diarrheal",47100020100905,616201,OR,LIQD,"1","MG/5ML",20140101
1448,"Anti-Diarrheal",47100020100305,3778101,OR,TABS,"2","MG",20170405
1470,"Anti-Oxidant",78200000000300,1517401,OR,TABS,,,20140101
1472,"Anti-Plaque",88400000000900,2320801,MT,LIQD,,,20150107
1504,"Anticoagulant Compound",83400020002010,767401,VI,SOLN,,,20140101
1506,"Antifungal",90150085003705,2397301,EX,CREA,"1","%",20140101
1533,"Antipyrine-Benzocaine",87992002202010,394401,OT,SOLN,"5.4-1.4","%",20140101
1542,"Antiseptic Mouth Rinse",88300000000900,1988101,MT,LIQD,,,20150107
1591,"Anucort-HC",89100010105230,64802,RE,SUPP,"25","MG",20140101
1609,"Anusol-HC",89100010105230,64802,RE,SUPP,"25","MG",20160106
1611,"Ao-Disc Catalyst",97601000000000,0,XX,MISC,,,20140101
1612,"Ao-Sept Contact Lens Holder",97600000006300,0,XX,MISC,,,20140101
1613,"Ao-Sept Disinfection/Neutral",86902000006300,0,XX,MISC,,,20140101
1614,"Ao-Sept Disinfection/Neutral",86902000002000,0,XX,SOLN,,,20140101
1628,"APAP",64200010000310,501,OR,TABS,"325","MG",20140101
1630,"Apatate",78106000000900,430701,OR,LIQD,"25","MG/5ML",20140101
1633,"Apetigen",78110000001000,3178201,OR,ELIX,,,20140101
1637,"Apetigen-Plus",78140000002000,2953901,OR,SOLN,,,20140101
1646,"Aplisol",94300070002010,2508101,ID,SOLN,"5","UNIT/0.1ML",20140101
1669,"Aqua Care",90660080003710,141601,EX,CREA,"10","%",20140101
1670,"Aqua Care",90660080004120,141601,EX,LOTN,"10","%",20140101
1699,"Aquabase",98600005004200,65301,EX,OINT,,,20140101
1706,"Aquaderm Treatment/Moisturizer",90650000004100,1102001,EX,LOTN,"25-0.03-0.1","%",20140101
1718,"Aquamed",90650000004100,0,EX,LOTN,,,20140101
1721,"Aquaphilic",90650000004200,0,EX,OINT,,,20140101
1722,"Aquaphilic/Carbamide",90660080004210,141601,EX,OINT,"10","%",20140101
1723,"Aquaphilic/Carbamide",90660080004220,141601,EX,OINT,"20","%",20140101
1724,"Aquaphor",90650000004200,100101,EX,OINT,,,20180704
1728,"Aquasol A",77201010002050,2217601,IM,SOLN,"50000","UNIT/ML",20140101
1740,"Aralen",13000010200310,28701,OR,TABS,"500","MG",20140101
1752,"Arginine",80303010050320,9201,OR,TABS,"500","MG",20140101
1788,"Armour Thyroid",28100050000325,135001,OR,TABS,"120","MG",20140101
1789,"Armour Thyroid",28100050000305,135001,OR,TABS,"15","MG",20170104
1790,"Armour Thyroid",28100050000330,135001,OR,TABS,"180","MG",20140101
1791,"Armour Thyroid",28100050000335,135001,OR,TABS,"240","MG",20140101
1792,"Armour Thyroid",28100050000310,135001,OR,TABS,"30","MG",20140101
1793,"Armour Thyroid",28100050000340,135001,OR,TABS,"300","MG",20140101
1794,"Armour Thyroid",28100050000315,135001,OR,TABS,"60","MG",20140101
1795,"Armour Thyroid",28100050000320,135001,OR,TABS,"90","MG",20140101
1796,"Arnica",90970015001510,540001,EX,TINC,"20","%",20140101
1831,"Arthricream",90800080103720,2530201,EX,CREA,"10","%",20140101
1834,"Arthricream Rub",90800080103720,2905001,EX,CREA,"10","%",20140101
1847,"Artificial Tears",86202000004200,362301,OP,OINT,,,20140101
1864,"Ascorbic Acid",77108010002020,9601,IJ,SOLN,"500","MG/ML",20140101
1866,"Ascorbic Acid",77108010000505,9601,OR,CHEW,"100","MG",20140101
1867,"Ascorbic Acid",77108010000510,9601,OR,CHEW,"250","MG",20140101
1868,"Ascorbic Acid",77108010000515,9601,OR,CHEW,"500","MG",20140101
1869,"Ascorbic Acid ER",77108010000205,9601,OR,CPCR,"500","MG",20140101
1870,"Ascorbic Acid",77108010002700,9601,OR,GRAN,,,20170405
1872,"Ascorbic Acid",77108010001230,9601,OR,SYRP,"500","MG/5ML",20160406
1873,"Ascorbic Acid",77108010000315,9601,OR,TABS,"100","MG",20140101
1874,"Ascorbic Acid",77108010000330,9601,OR,TABS,"1000","MG",20140101
1875,"Ascorbic Acid",77108010000320,9601,OR,TABS,"250","MG",20140101
1877,"Ascorbic Acid",77108010000325,9601,OR,TABS,"500","MG",20140101
1879,"Ascorbic Acid",96427810002900,9601,XX,POWD,,,20140101
1901,"Aspartic Acid",96300007102900,544501,XX,POWD,,,20140101
1907,"Aspercreme",90800080104120,2607801,EX,LOTN,"10","%",20140101
1912,"Aspir-Low",64100010000601,1977601,OR,TBEC,"81","MG",20140101
1920,"Aspirin",64100010000505,9901,OR,CHEW,"75","MG",20161005
1922,"Aspirin",64100010000510,9901,OR,CHEW,"81","MG",20140101
1925,"Aspirin",64100010000315,9901,OR,TABS,"325","MG",20140101
1926,"Aspirin",64100010000330,9901,OR,TABS,"500","MG",20140101
1931,"Aspirin",64100010000605,9901,OR,TBEC,"325","MG",20141001
1932,"Aspirin",64100010000607,9901,OR,TBEC,"500","MG",20160106
1934,"Aspirin",64100010000601,9901,OR,TBEC,"81","MG",20140101
1936,"Aspirin",64100010005209,9901,RE,SUPP,"120","MG",20140101
1941,"Aspirin",64100010005215,9901,RE,SUPP,"200","MG",20140101
1942,"Aspirin",64100010005218,9901,RE,SUPP,"300","MG",20140101
1945,"Aspirin",64100010005228,9901,RE,SUPP,"600","MG",20140101
1947,"Aspirin",64100010002900,9901,XX,POWD,,,20140101
1949,"Buffered Aspirin",64109902040320,594401,OR,TABS,"325","MG",20140101
1955,"Aspirin Childrens",64100010000510,9901,OR,CHEW,"81","MG",20140101
1961,"Aspirin Low Strength",64100010000510,3689401,OR,CHEW,"81","MG",20170104
1982,"Aspirtab",64100010000605,9901,OR,TBEC,"324","MG",20140101
1983,"Aspirtab Maximum Strength",64100010000330,9901,OR,TABS,"500","MG",20140101
1999,"Astring-O-Sol",88300000000900,2094101,MT,LIQD,,,20140101
2010,"Atenolol",33200020000310,251501,OR,TABS,"100","MG",20140101
2011,"Atenolol",33200020000303,251501,OR,TABS,"25","MG",20140101
2012,"Atenolol",33200020000305,251501,OR,TABS,"50","MG",20140101
2014,"Atgam",99402540102220,254501,IV,INJ ,"50","MG/ML",20140101
2026,"Ativan",57100060002005,2780201,IJ,SOLN,"2","MG/ML",20140101
2027,"Ativan",57100060002010,2780201,IJ,SOLN,"4","MG/ML",20140101
2028,"Ativan",57100060000305,73601,OR,TABS,"0.5","MG",20140101
2029,"Ativan",57100060000310,73601,OR,TABS,"1","MG",20140101
2030,"Ativan",57100060000315,73601,OR,TABS,"2","MG",20140101
2039,"Atrac-Tain",90660080003710,141601,EX,CREA,"10","%",20140101
2040,"Atrac-Tain",90660080004115,141601,EX,LOTN,"5","%",20140101
2063,"Atropine Sulfate",49101010102020,10101,IJ,SOLN,"0.4","MG/ML",20170405
2066,"Atropine Sulfate",49101010102030,10101,IJ,SOLN,"1","MG/ML",20140101
2069,"Atropine Sulfate",86350010104210,10101,OP,OINT,"1","%",20140101
2070,"Atropine Sulfate",86350010102010,10101,OP,SOLN,"1","%",20161005
2074,"Atropine Sulfate",49101010102900,10101,XX,POWD,,,20140101
2075,"Atropine-Care",86350010102010,3089401,OP,SOLN,"1","%",20140101
2085,"Attends Briefs Large",97152020006300,0,XX,MISC,,,20140101
2086,"Attends Briefs Medium",97152020006300,0,XX,MISC,,,20140101
2087,"Attends Briefs Small",97152020006300,0,XX,MISC,,,20140101
2100,"Attends Washcloths",97152020006300,0,XX,MISC,,,20140101
2119,"Auro Eardrops",87400030002010,23201,OT,SOLN,"6.5","%",20140101
2126,"Autolet II Clinisafe",97202030006400,0,XX,KIT ,,,20140101
2135,"Aveeno Shower & Bath",90400000001700,2098301,EX,OIL ,,,20140101
2150,"Avitene",84200020004300,343601,EX,PADS,,,20140101
2155,"Axid",49200040000120,467001,OR,CAPS,"300","MG",20140101
2159,"Aygestin",26000030100305,91502,OR,TABS,"5","MG",20140101
2160,"Ayr",42500010002010,123101,NA,SOLN,"0.65","%",20140101
2161,"Azactam",16000005002120,374001,IJ,SOLR,"1","GM",20140702
2162,"Azactam",16000005002130,374001,IJ,SOLR,"2","GM",20140702
2165,"AzaTHIOprine Sodium",99406010102110,10802,IJ,SOLR,"100","MG",20140101
2181,"Azostix",94100020006100,0,VI,STRP,,,20140101
2183,"Azulfidine",52500060000310,129801,OR,TABS,"500","MG",20140101
2185,"B & B A-2 Athletic Supporter",97350000000000,0,XX,MISC,,,20140101
2186,"B & B A-3 Athletic Supporter",97350000000000,0,XX,MISC,,,20140101
2189,"B & B Arm Sling Adult",97350000000000,0,XX,MISC,,,20140101
2190,"B & B Arm Sling Youth",97350000000000,0,XX,MISC,,,20140101
2191,"B & B Deluxe Wristlet",97350000000000,0,XX,MISC,,,20140101
2192,"B & B Elastic Ankle Brace",97350000000000,0,XX,MISC,,,20140101
2193,"B & B Elastic Knee Brace",97350000000000,0,XX,MISC,,,20140101
2194,"B & B Elbow Brace",97350000000000,0,XX,MISC,,,20140101
2195,"B & B Hernia Belt",97350000000000,0,XX,MISC,,,20140101
2196,"B & B Knee Brace/Supports",97350000000000,0,XX,MISC,,,20140101
2198,"B & B Nylon Ankle Brace",97350000000000,0,XX,MISC,,,20140101
2199,"B & B Nylon Elbow Brace",97350000000000,0,XX,MISC,,,20140101
2200,"B & B Nylon Knee Brace",97350000000000,0,XX,MISC,,,20140101
2201,"B & B O-16 Suspensory",97350000000000,0,XX,MISC,,,20140101
2202,"B & B Rib Belt",97350000000000,0,XX,MISC,,,20140101
2203,"B & B Rigid Wrist Brace",97350000000000,0,XX,MISC,,,20140101
2204,"B & B S-10 Swimmer Supporter",97350000000000,0,XX,MISC,,,20140101
2205,"B & B Sacroiliac Belt",97350000000000,0,XX,MISC,,,20140101
2206,"B & B Snap-Fastener Wristlet",97350000000000,0,XX,MISC,,,20140101
2211,"B & L Accessories Lens Case",97602000006300,0,XX,MISC,,,20140101
2221,"B Complex Formula 1",78130000000300,3391301,OR,TABS,,,20140402
2235,"B Complex-Vitamin C",78120000000100,2325801,OR,CAPS,,,20140101
2246,"B-100",78520000000300,580901,OR,TABS,,,20140101
2248,"B-100 Complex",78520000000300,2700801,OR,TABS,,,20140101
2252,"B-2 Extra High Comp Hose Women",97350000000000,0,XX,MISC,,,20140101
2253,"B-3 Extra High Comp Hose Women",97350000000000,0,XX,MISC,,,20140101
2254,"B-4 Med Compression Hose Mens",97350000000000,0,XX,MISC,,,20140101
2255,"B-50",78520000000300,580901,OR,TABS,,,20140101
2256,"B-50 CR",78130000000400,452601,OR,TBCR,,,20140101
2257,"Pyridoxine/Minerals",79409903300120,768101,OR,CAPS,"100-99-200","MG",20140101
2266,"B Complex",78110000000300,400901,OR,TABS,,,20140101
